Cantidad_Trades,Ganancia,Ganancia_Promedio_xTrade,PAR,Estrategia,Tiempo_inicial,Tiempo_final,Cantidad_trade
6,0.256,0.042666667,BTCUSDT,MACD,35:19.5,15:38.0,0.01
6,0.4188,0.0698,BTCUSDT,MACD_logicv1,35:55.1,16:03.3,0.01
4,0.009,0.00225,ETHUSDT,MACD,36:24.0,16:17.3,0.1
1,0.053,0.053,ETHUSDT,MACD_logicv1,36:50.5,16:27.7,0.1
50,0.241,0.00482,ETHUSDT,MACD,18:31.3,41:46.3,0.1
53,1.4237,0.026862264,BTCUSDT,MACD_logicv1,18:20.3,42:03.3,0.01
66,1.8942,0.0287,BTCUSDT,MACD,17:24.3,42:20.5,0.01
97,0.8997,0.009275258,BTCUSDT,MACD,42:25.5,38:44.8,0.01
169,1.0309,0.0061,BTCUSDT,MACD_logicv1,43:19.2,12:04.1,0.01
20,0.284,0.0142,ETHUSDT,MACD_logicv1,43:09.1,31:33.7,0.1
378,3.6,0.00952381,ETHUSDT,MACD,42:57.0,57:39.2,0.1
33,0.60175,0.018234848,BTCUSDT,MACD,37:20.2,13:51.8,0.005
22,0.45315,0.020597727,BTCUSDT,MACD_logicv1,37:54.3,13:52.1,0.005
,,,,,,,
40,0.41659999999992575,0.010414999999998144,BTCUSDT,MACD,2023-07-05 13:55:30.197377,2023-07-05 14:33:52.602318,0.005
44,0.14104999999994108,0.0032056818181804793,BTCUSDT,MACD_logicv1,2023-07-05 13:55:44.163789,2023-07-05 14:33:14.443281,0.005
